case,name,timestamp,resource,cost
ORD-1000,Order Placed,2025-01-20 0:00,Mobile App,4.05
ORD-1000,Order Confirmed,2025-01-20 0:05,Sales Agent B,1.99
ORD-1000,Payment Processed,2025-01-20 1:44,Payment Gateway,9.06
ORD-1000,Inventory Checked,2025-01-20 2:02,Warehouse System,1.86
ORD-1000,Order Picked,2025-01-20 4:16,Picker A,8.64
ORD-1000,Quality Inspection,2025-01-20 5:57,QC Inspector B,3.7
ORD-1000,Order Packed,2025-01-20 7:22,Packer B,12.24
ORD-1000,Shipping Label Generated,2025-01-20 7:27,Shipping System,10.62
ORD-1000,Dispatched to Carrier,2025-01-20 10:51,Dispatch Team B,2.75
ORD-1000,In Transit,2025-01-24 23:51,FedEx,9.6
ORD-1000,Delivered,2025-01-25 12:51,DHL,21.15
ORD-1000,Delivery Confirmed,2025-01-26 11:51,Customer Service,12.2
ORD-1001,Order Placed,2025-03-20 9:00,Mobile App,1.64
ORD-1001,Order Confirmed,2025-03-20 9:10,Sales Agent B,9.47
ORD-1001,Payment Processed,2025-03-20 11:05,Finance Team,8.87
ORD-1001,Inventory Checked,2025-03-20 11:32,Warehouse System,10.09
ORD-1001,Order Picked,2025-03-20 18:22,Picker C,14.79
ORD-1001,Quality Inspection,2025-03-20 20:21,QC Inspector A,13.06
ORD-1001,Order Packed,2025-03-20 21:19,Packer B,7.07
ORD-1001,Shipping Label Generated,2025-03-20 21:35,Shipping System,5.87
ORD-1001,Dispatched to Carrier,2025-03-20 23:52,Dispatch Team B,10.68
ORD-1001,In Transit,2025-03-25 2:52,Local Courier,8.21
ORD-1001,Delivered,2025-03-25 23:52,DHL,29.04
ORD-1001,Delivery Confirmed,2025-03-26 15:52,System Auto,7.2
ORD-1002,Order Placed,2025-02-16 1:00,Customer Service,8.58
ORD-1002,Order Confirmed,2025-02-16 1:22,Sales Agent A,12.72
ORD-1002,Payment Processed,2025-02-16 3:06,Payment Gateway,3.82
ORD-1002,Inventory Checked,2025-02-16 3:24,Inventory Clerk A,6.32
ORD-1002,Order Cancelled,2025-02-16 5:24,Customer Service,13.74
ORD-1002,Refund Initiated,2025-02-16 15:24,Finance Team,3.58
ORD-1003,Order Placed,2025-03-27 4:00,Customer Service,7.15
ORD-1003,Order Confirmed,2025-03-27 4:09,System Auto,4.08
ORD-1003,Payment Processed,2025-03-27 5:25,Finance Team,11.33
ORD-1003,Inventory Checked,2025-03-27 7:24,Inventory Clerk B,6.29
ORD-1003,Order Picked,2025-03-27 9:31,Picker B,7.89
ORD-1003,Quality Inspection,2025-03-27 9:52,QC Inspector A,12.99
ORD-1003,Order Packed,2025-03-27 10:21,Packer C,2.82
ORD-1003,Shipping Label Generated,2025-03-27 10:47,Logistics Coord,9.15
ORD-1003,Dispatched to Carrier,2025-03-27 14:34,Dispatch Team B,9.14
ORD-1003,In Transit,2025-03-30 13:34,Local Courier,16.31
ORD-1003,Delivered,2025-03-31 7:34,DHL,35.61
ORD-1003,Delivery Confirmed,2025-03-31 15:34,Customer Service,11.64
ORD-1004,Order Placed,2025-02-28 1:00,Mobile App,2.79
ORD-1004,Order Confirmed,2025-02-28 1:01,Sales Agent B,13.2
ORD-1004,Payment Processed,2025-02-28 1:39,Payment Gateway,7.86
ORD-1004,Inventory Checked,2025-02-28 2:16,Inventory Clerk B,4.83
ORD-1004,Order Picked,2025-02-28 7:58,Picker B,2.72
ORD-1004,Quality Inspection,2025-02-28 9:45,QC Inspector A,8.32
ORD-1004,Order Packed,2025-02-28 11:02,Packer A,9.18
ORD-1004,Shipping Label Generated,2025-02-28 11:22,Shipping System,2.12
ORD-1004,Dispatched to Carrier,2025-02-28 14:57,Dispatch Team B,3.97
ORD-1004,In Transit,2025-03-02 8:57,Local Courier,47.61
ORD-1004,Delivered,2025-03-02 11:57,Local Courier,26.87
ORD-1004,Delivery Confirmed,2025-03-02 16:57,System Auto,2.36
ORD-1005,Order Placed,2025-03-23 2:00,Mobile App,8.15
ORD-1005,Order Confirmed,2025-03-23 2:20,Sales Agent A,14.48
ORD-1005,Order Cancelled,2025-03-23 11:20,Customer Service,10.84
ORD-1005,Refund Initiated,2025-03-23 18:20,Finance Team,6.85
ORD-1006,Order Placed,2025-03-30 7:00,Web Portal,3.76
ORD-1006,Order Confirmed,2025-03-30 7:11,System Auto,9.03
ORD-1006,Payment Processed,2025-03-30 7:45,Payment Gateway,0.6
ORD-1006,Inventory Checked,2025-03-30 10:36,Warehouse System,3.82
ORD-1006,Order Picked,2025-03-30 18:34,Picker A,12.96
ORD-1006,Quality Inspection,2025-03-30 18:53,QC Inspector A,4.54
ORD-1006,Order Packed,2025-03-30 20:05,Packer A,8.32
ORD-1006,Shipping Label Generated,2025-03-30 20:33,Logistics Coord,4.02
ORD-1006,Dispatched to Carrier,2025-03-31 1:05,Dispatch Team B,3.26
ORD-1006,In Transit,2025-04-01 1:05,Local Courier,24.4
ORD-1006,Delivered,2025-04-01 15:05,FedEx,26.02
ORD-1006,Delivery Confirmed,2025-04-03 14:05,System Auto,10.26
ORD-1007,Order Placed,2025-01-17 19:00,Customer Service,5.42
ORD-1007,Order Confirmed,2025-01-17 19:28,System Auto,4.11
ORD-1007,Payment Processed,2025-01-17 19:57,Finance Team,2.53
ORD-1007,Inventory Checked,2025-01-17 20:53,Inventory Clerk A,7.21
ORD-1007,Order Picked,2025-01-18 4:35,Picker A,6.93
ORD-1007,Quality Inspection,2025-01-18 6:35,QC Inspector A,1.23
ORD-1007,Order Packed,2025-01-18 7:54,Packer A,14.55
ORD-1007,Shipping Label Generated,2025-01-18 8:23,Shipping System,2.91
ORD-1007,Dispatched to Carrier,2025-01-18 13:01,Dispatch Team B,3.6
ORD-1007,In Transit,2025-01-21 4:01,DHL,12.41
ORD-1007,Delivered,2025-01-21 5:01,FedEx,16.93
ORD-1007,Delivery Confirmed,2025-01-22 11:01,Customer Service,6.63
ORD-1008,Order Placed,2025-03-25 1:00,Mobile App,3.66
ORD-1008,Order Confirmed,2025-03-25 1:02,Sales Agent B,11.17
ORD-1008,Payment Processed,2025-03-25 1:14,Finance Team,1.33
ORD-1008,Inventory Checked,2025-03-25 3:53,Inventory Clerk A,7.79
ORD-1008,Order Picked,2025-03-25 11:24,Picker B,1.32
ORD-1008,Quality Inspection,2025-03-25 12:39,QC Inspector A,12.84
ORD-1008,Order Packed,2025-03-25 12:57,Packer C,1.49
ORD-1008,Shipping Label Generated,2025-03-25 13:09,Logistics Coord,2.24
ORD-1008,Dispatched to Carrier,2025-03-25 18:30,Dispatch Team A,8.89
ORD-1008,In Transit,2025-03-26 11:30,Local Courier,8.69
ORD-1008,Delivered,2025-03-27 9:30,Local Courier,30.44
ORD-1008,Delivery Confirmed,2025-03-28 6:30,Customer Service,3.46
ORD-1009,Order Placed,2025-02-23 14:00,Mobile App,2.4
ORD-1009,Order Confirmed,2025-02-23 14:21,Sales Agent A,7.13
ORD-1009,Payment Processed,2025-02-23 16:02,Payment Gateway,0.64
ORD-1009,Inventory Checked,2025-02-23 18:51,Inventory Clerk B,14.94
ORD-1009,Order Picked,2025-02-23 19:43,Picker B,7.84
ORD-1009,Quality Inspection,2025-02-23 20:09,QC Inspector B,13.27
ORD-1009,Order Packed,2025-02-23 20:50,Packer B,4.63
ORD-1009,Shipping Label Generated,2025-02-23 21:09,Logistics Coord,9.37
ORD-1009,Dispatched to Carrier,2025-02-24 2:09,Dispatch Team A,10.18
ORD-1009,In Transit,2025-02-27 12:09,FedEx,46.93
ORD-1009,Delivered,2025-02-27 16:09,DHL,16.9
ORD-1009,Delivery Confirmed,2025-02-27 23:09,System Auto,4.45
ORD-1010,Order Placed,2025-02-05 22:00,Web Portal,10.47
ORD-1010,Order Confirmed,2025-02-05 22:28,Sales Agent A,7.83
ORD-1010,Payment Processed,2025-02-05 23:05,Payment Gateway,1.84
ORD-1010,Inventory Checked,2025-02-06 1:03,Inventory Clerk A,1.14
ORD-1010,Out of Stock,2025-02-06 4:03,Warehouse System,9.74
ORD-1010,Backorder Placed,2025-02-06 7:03,Procurement Team,11.25
